Total Loans,Loans to mid-high borrowers,Loans to low-mod borrowers,0
26148,19443,6705,0.7435750344194585
644,596,48,0.9254658385093167
1,1,0,1.0
2017,1589,428,0.7878036688150719
5386,2840,2546,0.5272929818046788
849,626,223,0.7373380447585395
1704,796,908,0.4671361502347418
76,65,11,0.8552631578947368
1208,1153,55,0.9544701986754967
156,115,41,0.7371794871794872
212,183,29,0.8632075471698113
120,116,4,0.9666666666666667
635,551,84,0.8677165354330708
118,98,20,0.8305084745762712
823,756,67,0.9185905224787363
95,71,24,0.7473684210526316
267,221,46,0.8277153558052435
977,892,85,0.9129989764585466
790,685,105,0.8670886075949367
558,483,75,0.8655913978494624
1915,1647,268,0.8600522193211488
273,188,85,0.6886446886446886
317,266,51,0.8391167192429022
3751,2545,1206,0.6784857371367635
870,628,242,0.7218390804597701
515,361,154,0.7009708737864078
249,245,4,0.9839357429718876
826,692,134,0.837772397094431
38,38,0,1.0
126,114,12,0.9047619047619048
1187,934,253,0.7868576242628476
1168,1010,158,0.8647260273972602
145,125,20,0.8620689655172413
214,187,27,0.8738317757009346
488,378,110,0.7745901639344263
340,312,28,0.9176470588235294
288,237,51,0.8229166666666666
3551,2192,1359,0.6172909039707125
414,357,57,0.8623188405797102
295,239,56,0.8101694915254237
85,74,11,0.8705882352941177
1488,1446,42,0.9717741935483871
337,313,24,0.9287833827893175
2868,2397,471,0.8357740585774058
744,644,100,0.8655913978494624
6497,5281,1216,0.812836693858704
59,56,3,0.9491525423728814
515,361,154,0.7009708737864078
82,76,6,0.926829268292683
181,150,31,0.8287292817679558
156,115,41,0.7371794871794872
468,359,109,0.7670940170940171
181,150,31,0.8287292817679558
601,514,87,0.8552412645590682
137,118,19,0.8613138686131386
83,62,21,0.7469879518072289
1443,1167,276,0.8087318087318087
632,558,74,0.8829113924050633
2321,2190,131,0.943558810857389
558,483,75,0.8655913978494624
1318,1144,174,0.8679817905918058
1067,860,207,0.8059981255857545
1167,1105,62,0.9468723221936589
2024,1674,350,0.8270750988142292
949,902,47,0.9504741833508957
38,38,0,1.0
346,306,40,0.884393063583815
347,157,190,0.45244956772334294
1480,1209,271,0.8168918918918919
17874,13578,4296,0.7596508895602552
1037,723,314,0.6972034715525555
907,526,381,0.5799338478500551
62,55,7,0.8870967741935484
380,365,15,0.9605263157894737
501,337,164,0.6726546906187625
545,381,164,0.6990825688073394
321,270,51,0.8411214953271028
4006,2204,1802,0.5501747378931603
907,526,381,0.5799338478500551
120,114,6,0.95
1270,1190,80,0.937007874015748
6800,4340,2460,0.638235294117647
515,361,154,0.7009708737864078
1012,722,290,0.7134387351778656
459,301,158,0.6557734204793029
1236,987,249,0.7985436893203883
236,211,25,0.8940677966101694
646,465,181,0.7198142414860681
11800,10452,1348,0.8857627118644068
28204,22097,6107,0.78347042972628
3115,2215,900,0.7110754414125201
406,325,81,0.8004926108374384
510,440,70,0.8627450980392157
777,700,77,0.9009009009009009
2041,1124,917,0.5507104360607545
1009,778,231,0.7710604558969276
1200,1073,127,0.8941666666666667
5547,4241,1306,0.7645574184243735
394,327,67,0.8299492385786802
383,288,95,0.7519582245430809
455,388,67,0.8527472527472527
168,160,8,0.9523809523809523
9,9,0,1.0
120,116,4,0.9666666666666667
1410,921,489,0.6531914893617021
1443,1346,97,0.9327789327789328
76,65,11,0.8552631578947368
38,38,0,1.0
1013,840,173,0.8292201382033564
1704,1214,490,0.7124413145539906
3937,2674,1263,0.6791973583947168
290,220,70,0.7586206896551724
555,433,122,0.7801801801801802
318,244,74,0.7672955974842768
